BEZEICHNUNG,STR_SCHL,GEMEINDE_KENNUNG,ID,KENNUNG,mw,benannt nach,URL
Bei der Pilzbuche,00712,8421000,494,STR,,,
Bei der Wiege,00713,8421000,1435,STR,,,
Bei der Linde,00714,8421000,1813,STR,,,
Beim Alten Fritz,00715,8421000,176,STR,?,,
Beim B'scheid,00741,8421000,340,STR,,,
Beim Brückle,00750,8421000,1802,STR,,,
Beim Engländer,00754,8421000,1669,STR,,,
Beimerstetter Straße,00758,8421000,1359,STR,,,
Beim Haslachkreuz,00762,8421000,1046,STR,,,
Beim Kessel,00767,8421000,354,STR,,,
Beim Kleinen Gehrn,00770,8421000,1378,STR,,,
Beim Spitalwald,00778,8421000,1816,STR,,,
Beim Riedfleck,00780,8421000,393,STR,,,
Beim Steinbruch,00781,8421000,486,STR,,,
Beim Tannenhof,00783,8421000,966,STR,,,
Beim Türmle,00793,8421000,707,STR,,,
Beim Wasserturm,00796,8421000,1047,STR,,,
Beim Wengenholz,00800,8421000,1812,STR,,,
Benediktinerweg,00806,8421000,892,STR,?,,
Benzstraße,00819,8421000,467,STR,?,,
Berblingerstraße,00832,8421000,124,STR,?,,
Bergackerweg,00836,8421000,1329,STR,,,
Bergstraße,00845,8421000,628,STR,,,
Bergweg,00848,8421000,1564,STR,,,
Berliner Platz,00858,8421000,1670,STR,,,
Berliner Ring,00860,8421000,300,STR,,,
Bernstadter Weg,00863,8421000,1396,STR,,,
Bernsteinweg,00866,8421000,1085,STR,,,
Bertholdstraße,00869,8421000,1300,STR,?,,
Bessererstraße,00871,8421000,142,STR,?,,Patrizierfamilie Besserer
Beyerstraße,00884,8421000,383,STR,?,,
Bgm.-Leypoldt-Weg,00886,8421000,1814,STR,m,,
Biberacher Straße,00887,8421000,921,STR,,,
Bilharzstraße,00894,8421000,1540,STR,?,,
Bindergasse,00897,8421000,190,STR,,,
Binsenweg,00900,8421000,1356,STR,,,
Binsenweiherweg,00901,8421000,876,STR,,,
Birkenlauhstraße,00902,8421000,1546,STR,,,
Birkenweg,00904,8421000,1639,STR,,,
Bismarckplatz,00910,8421000,1671,STR,m,x,https://de.wikipedia.org/wiki/Otto_von_Bismarck
Bismarckring,00923,8421000,156,STR,m,x,https://de.wikipedia.org/wiki/Otto_von_Bismarck
Bizäuneweg,00927,8421000,1113,STR,,,
Blauäcker,00931,8421000,758,STR,,,
